centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index
1604473.8758166605,-2156019.413791975,11,2,106.0,1357.1634312670865,9209.601604697556,740.5303742900422,6,53
1604473.8758166605,-2155019.413791975,11,2,88.0,1618.3639817117098,10106.038521715269,1528.9352589284367,6,54
1604473.8758166605,-2154019.413791975,11,2,71.0,2009.927522727177,11020.31158758853,2317.340143566832,6,55
1605473.8758166605,-2183019.413791975,11,2,88.0,3786.8480868728334,7936.455502773887,1821.6668938015537,7,26
1605473.8758166605,-2182019.413791975,11,2,100.0,3335.4959254740997,6945.066912353972,1515.065254604676,7,27
1605473.8758166605,-2181019.413791975,11,2,110.0,2802.356467031579,5956.557973077904,1208.4636154077982,7,28
1605473.8758166605,-2180019.413791975,11,2,119.0,2121.5563955158937,4972.6463132020535,901.8619762109206,7,29
1605473.8758166605,-2179019.413791975,11,2,125.0,1769.0379322468611,3996.728640496624,595.2603370140429,7,30
1605473.8758166605,-2178019.413791975,11,2,129.0,1264.853238094992,3036.522401585408,288.65869781716515,7,31
1605473.8758166605,-2177019.413791975,11,2,131.0,614.422507016158,2113.550748123648,0.0,7,32
1605473.8758166605,-2176019.413791975,11,2,133.0,36.80265997697617,1309.0932871488012,0.0,7,33
1605473.8758166605,-2175019.413791975,11,2,134.0,561.5922557866776,979.9763793184376,0.0,7,34
1605473.8758166605,-2174019.413791975,11,2,135.0,516.1525802453658,1485.591523126763,0.0,7,35
1605473.8758166605,-2173019.413791975,11,2,138.0,591.1272389943966,1661.7947334082432,0.0,7,36
1605473.8758166605,-2172019.413791975,11,2,142.0,349.6471749768314,1810.4953772015572,0.0,7,37
1605473.8758166605,-2171019.413791975,11,2,149.0,1049.7136545369929,2407.1197073999133,0.0,7,38
1605473.8758166605,-2170019.413791975,11,2,157.0,1820.1584093873655,3211.0056151676035,0.0,7,39
1605473.8758166605,-2169019.413791975,11,2,167.0,2174.452861682272,4102.059097029529,0.0,7,40
1605473.8758166605,-2168019.413791975,11,2,177.0,1863.776171768665,5034.205062411299,0.0,7,41
