centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,V,RiskFire,RiskPoaching,R
1604473.8758166605,-2179019.413791975,11,2,105.0,2676.556558109531,3876.7855360640265,1547.0982616849335,0.49,0.4483113149366776,0.3825910402216273,0.17151989232474904
1604473.8758166605,-2178019.413791975,11,2,110.0,2023.4302593162813,2876.820217218876,1240.4966224880554,0.49,0.4532019352062314,0.4083890326839131,0.1850826999293503
1604473.8758166605,-2177019.413791975,11,2,113.0,1372.3594887344668,1876.8918540404197,933.8949832911778,0.49,0.4580771636473532,0.4273411627049465,0.19575522772164394
1604473.8758166605,-2176019.413791975,11,2,115.0,776.1360318831025,877.1268444913223,627.2933440943001,0.49,0.4625416945177963,0.4428850416727349,0.20485279765189163
1604473.8758166605,-2175019.413791975,11,2,117.0,109.03946756267742,126.41190961030942,320.69170489742237,0.49,0.46753692436115607,0.45693491804084024,0.21363394621403137
1604473.8758166605,-2174019.413791975,11,2,121.0,129.10883765485477,1123.6585070453325,14.090065700544638,0.49,0.46738664459390233,0.4660449038316962,0.21782316383198438
1604473.8758166605,-2173019.413791975,11,2,125.0,348.9340901311279,688.0070599864947,0.0,0.49,0.46574058955446107,0.48486926016132004,0.22582329508436855
1604473.8758166605,-2172019.413791975,11,2,131.0,361.57083076381963,994.8293770672914,0.0,0.49,0.46564596543659365,0.5056534211159723,0.23545547545186338
1604473.8758166605,-2171019.413791975,11,2,139.0,464.9050878672592,1872.436184322694,0.0,0.49,0.464872196851156,0.5289772314854504,0.24590680768488382
1604473.8758166605,-2170019.413791975,11,2,147.0,1124.7062166840774,2832.375158633786,0.0,0.49,0.45993159534662603,0.5506816724272084,0.2532759001275941
1604473.8758166605,-2169019.413791975,11,2,157.0,1880.6814159021117,3812.9622099006697,0.0,0.49,0.4542708408502801,0.5786073502114468,0.2628444475027064
1604473.8758166605,-2168019.413791975,11,2,166.0,2721.850805211865,4801.56355669853,0.0,0.49,0.4479721508831368,0.6016112316074048,0.2695050774186221
1604473.8758166605,-2167019.413791975,11,2,175.0,2601.6248658526542,5133.1257514940435,0.0,0.49,0.44887240465800804,0.6306347911497251,0.2830745551643778
1604473.8758166605,-2166019.413791975,11,2,182.0,2273.410168858245,4654.485241763736,0.0,0.49,0.45133008160786,0.661255858173772,0.29844466043324397
1604473.8758166605,-2165019.413791975,11,2,187.0,1273.4120698353365,4356.545162274982,0.0,0.49,0.45881808351749503,0.6828731528080124,0.3133145512569218
1604473.8758166605,-2164019.413791975,11,2,190.0,273.41397081242786,4277.23492879298,0.0,0.49,0.46630608542713003,0.6947616941061442,0.32397160588335727
1604473.8758166605,-2163019.413791975,11,2,189.0,726.5841282104809,4428.317007761732,0.0,0.49,0.4629127399724719,0.6893364124443487,0.3191026074474074
1604473.8758166605,-2162019.413791975,11,2,185.0,1377.1399931352755,4788.031370655059,0.0,0.49,0.4580413671532226,0.6706254102210452,0.3071741797453382
1604473.8758166605,-2161019.413791975,11,2,178.0,1011.315130454562,5314.178891561903,0.0,0.49,0.460780669630919,0.6394495331041107,0.29464598405889064
1604473.8758166605,-2160019.413791975,11,2,168.0,330.411593826854,5962.86425945344,0.0,0.49,0.46587928630581804,0.5967753307901579,0.27802526519343723
1604473.8758166605,-2159019.413791975,11,2,155.0,349.1731360099521,6698.582168027229,0.0,0.49,0.4657387995750612,0.5435329817061688,0.25314439842928477
1604473.8758166605,-2158019.413791975,11,2,140.0,917.380775626205,7495.749191839165,0.0,0.49,0.4614840515963671,0.48402040130470997,0.22336769584939709
