centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,col_index,row_index,V,RiskFire,RiskPoaching,R
1605473.8758166605,-2166019.413791975,11,2,195.0,1355.6790827069935,3757.069855235417,0.0,7,43,0.49,0.4582020667969784,0.7193275162915319,0.3295973546687171
1613473.8758166605,-2159019.413791975,18,2,200.0,1108.5388842109796,4020.014925396575,0.0,15,50,0.49,0.44652169610515785,0.7345144947650777,0.3279766580163256
1610473.8758166605,-2169019.413791975,15,2,206.0,2624.728756049999,5140.673146417164,0.0,12,40,0.49,0.4411582359290788,0.7422509392065672,0.3274501149570711
1609473.8758166605,-2169019.413791975,14,2,201.0,1658.1426821797545,4896.445585010855,0.0,11,40,0.49,0.45019010673553883,0.727275714592237,0.32741233157844446
1608473.8758166605,-2159019.413791975,14,2,204.0,2762.9269742765023,5164.916958393561,0.0,10,50,0.49,0.4420217411282324,0.7347382848119702,0.3247702959261582
1604473.8758166605,-2164019.413791975,11,2,190.0,273.41397081242786,4277.23492879298,0.0,6,45,0.49,0.46630608542713003,0.6947616941061442,0.32397160588335727
1611473.8758166605,-2178019.413791975,16,2,196.0,250.4926186331224,5061.940942289842,0.0,13,31,0.49,0.4566777687629192,0.7071751543624626,0.32295117161882236
1616473.8758166605,-2167019.413791975,20,2,198.0,274.1877854432852,4779.566721716276,0.0,18,42,0.49,0.4486670868057398,0.7178542490289932,0.32207757466296044
1615473.8758166605,-2160019.413791975,19,2,201.0,2897.517092646968,3410.727630895569,0.0,17,49,0.49,0.4316430863192094,0.7457725487148242,0.32190756461940967
1611473.8758166605,-2169019.413791975,16,2,208.0,3585.6418414114246,5556.785170367558,0.0,13,40,0.49,0.43222877407780586,0.7440963483026963,0.32161985242264646
1608473.8758166605,-2169019.413791975,14,2,194.0,695.2531078508321,4850.137970784959,0.0,10,40,0.49,0.45730935538783013,0.7025041456146736,0.3212617179883247
1616473.8758166605,-2161019.413791975,20,2,202.0,3305.9453967954137,3296.574813857224,0.0,18,48,0.49,0.42682371018371085,0.7509111057684341,0.32050666418223595
1610473.8758166605,-2178019.413791975,15,2,196.0,34.08129224096636,5973.718723301705,0.0,12,31,0.49,0.4602310155412447,0.696106112015431,0.3203696228573293
1617473.8758166605,-2164019.413791975,21,2,202.0,2766.3215797971484,3754.201941276962,0.0,19,45,0.49,0.4288307852317745,0.745185412177577,0.31955844544737383
1604473.8758166605,-2163019.413791975,11,2,189.0,726.5841282104809,4428.317007761732,0.0,6,46,0.49,0.4629127399724719,0.6893364124443487,0.3191026074474074
1615473.8758166605,-2168019.413791975,19,2,199.0,1137.0784310623794,5253.7795630822775,0.0,17,41,0.49,0.4443821805096347,0.7156346834282502,0.31801530107016796
1610473.8758166605,-2177019.413791975,15,2,197.0,561.3022604982089,6260.109058997917,0.0,12,32,0.49,0.4563495266567253,0.6961631375001426,0.31769371827405085
1611473.8758166605,-2177019.413791975,16,2,197.0,1221.9124388026717,5580.033022761306,0.0,13,32,0.49,0.4495565767460432,0.7044614287022064,0.3166952683369907
1611473.8758166605,-2179019.413791975,16,2,192.0,590.3785308382733,4702.097794745836,0.0,13,30,0.49,0.45418616544745316,0.697022374419987,0.31657791946889285
1617473.8758166605,-2163019.413791975,21,2,201.0,3201.025714047763,3619.1007343295096,0.0,19,46,0.49,0.42571248136980727,0.7431783532828108,0.31638030087635266
1609473.8758166605,-2177019.413791975,14,2,191.0,370.519757042384,5314.5641117044615,0.0,11,32,0.49,0.45971031343300195,0.6861463462024057,0.31542855187361696
1617473.8758166605,-2165019.413791975,21,2,199.0,2281.0078154201706,4134.026403707531,0.0,19,44,0.49,0.4323121318914547,0.7294366301221957,0.3153443046478449
1612473.8758166605,-2169019.413791975,17,2,208.0,3941.819039432602,6109.76288090946,0.0,14,40,0.49,0.42777389117469483,0.7369721510774773,0.3152574447537975
1609473.8758166605,-2176019.413791975,14,2,189.0,92.7971612253373,5048.8830613296095,0.0,11,33,0.49,0.46176369137860834,0.682071760830046,0.3149559740659893
1610473.8758166605,-2176019.413791975,15,2,195.0,886.5140721019222,6036.190346577202,0.0,12,33,0.49,0.45395526294595745,0.6918000100328852,0.31404625546049436
1612473.8758166605,-2178019.413791975,17,2,190.0,735.6258994693945,4190.605782143553,0.0,14,31,0.49,0.4511766728153304,0.6957811832609102,0.31392023927117113
1607473.8758166605,-2159019.413791975,13,2,196.0,2546.319752480836,5312.723045273407,0.0,9,50,0.49,0.4455110131789534,0.7041306431058688,0.31369795622044366
1606473.8758166605,-2168019.413791975,12,2,187.0,893.85764610416,4465.020622365664,0.0,8,41,0.49,0.4597204444591915,0.681616723436835,0.3133531430491996
1604473.8758166605,-2165019.413791975,11,2,187.0,1273.4120698353363,4356.545162274982,0.0,6,44,0.49,0.45881808351749503,0.6828731528080124,0.3133145512569218
1614473.8758166605,-2159019.413791975,18,2,194.0,2106.164826383595,4049.533360888784,0.0,16,50,0.49,0.4392711698608097,0.7121243608613529,0.3128157010819479
1612473.8758166605,-2179019.413791975,17,2,186.0,125.88288320866262,3748.0200625741686,0.0,14,30,0.49,0.4556273350317109,0.6862320444884793,0.3126660776436483
1613473.8758166605,-2169019.413791975,18,2,204.0,3307.3192962297794,6010.153151712889,0.0,15,40,0.49,0.43054144297723507,0.7240582362924337,0.3117370778528962
1609473.8758166605,-2178019.413791975,14,2,191.0,772.4027253071256,5744.3853655419925,0.0,11,31,0.49,0.4567389397090818,0.6810614015892138,0.3110672624386387
1610473.8758166605,-2179019.413791975,15,2,192.0,950.6438140653167,5672.018419685257,0.0,12,30,0.49,0.45348312906740396,0.6854877782039347,0.3108571425973829
1611473.8758166605,-2158019.413791975,16,2,190.0,184.3013849051367,5539.673007377598,0.0,13,51,0.49,0.45716299716306513,0.6799047783975196,0.31082730627769967
1607473.8758166605,-2169019.413791975,13,2,186.0,272.25891229366965,5007.244482180572,0.0,9,40,0.49,0.4623961233094789,0.6717249294726161,0.3106030033184708
1605473.8758166605,-2167019.413791975,11,2,186.0,1652.7026546456138,4335.933695523208,0.0,7,42,0.49,0.4559779494950994,0.6794588827233575,0.3098182681104278
1610473.8758166605,-2170019.413791975,15,2,197.0,2367.3202400084474,6091.901797726997,0.0,12,39,0.49,0.44305332044572576,0.6982156033450678,0.3093467414490481
1609473.8758166605,-2175019.413791975,14,2,186.0,335.1362637906507,4973.715777619895,0.0,11,34,0.49,0.45997192586848945,0.6721112027737222,0.3091522843376158
